SNR_dB,BPSK_BER,QPSK_BER
-5.000000000000000000e+00,2.878399999999999848e-01,0.000000000000000000e+00
-3.000000000000000000e+00,2.372100000000000042e-01,0.000000000000000000e+00
-1.000000000000000000e+00,1.864399999999999946e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.303700000000000137e-01,0.000000000000000000e+00
3.000000000000000000e+00,7.804999999999999438e-02,0.000000000000000000e+00
5.000000000000000000e+00,3.769999999999999740e-02,0.000000000000000000e+00
7.000000000000000000e+00,1.213999999999999975e-02,0.000000000000000000e+00
9.000000000000000000e+00,2.370000000000000145e-03,0.000000000000000000e+00
1.100000000000000000e+01,2.100000000000000087e-04,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
